Guid,Title,Genres,Keywords,Director,Actors
tt0112818,Dead Man Walking,Crime | Drama,nun | solitary confinement | execution | capital punishment | repentance,Tim Robbins,Susan Sarandon | Sean Penn | Robert Prosky | Raymond J. Barry
tt0112286,Across the Sea of Time,Adventure | Drama | Family | History,donald trump | immigrant | 11 year old | brooklyn new york city | times square manhattan new york city,Stephen Low,Peter Reznick | John McDonough | Avi Hoffman | Victor Steinbach
tt0113442,It Takes Two,Comedy | Family | Romance,mistaken identity | identity swapping | nylon stockings | child plays matchmaker | embarrassment,Andy Tennant,Kirstie Alley | Steve Guttenberg | Mary-Kate Olsen | Ashley Olsen
tt0112697,Clueless,Comedy | Romance,miniskirt | girl wears a miniskirt | short skirt | virgin | girl wears a short skirt,Amy Heckerling,Alicia Silverstone | Stacey Dash | Brittany Murphy | Paul Rudd
tt0112749,"Cry, the Beloved Country",Drama | Thriller,1940s | racial tension | apartheid | south africa | remake,Darrell Roodt,Richard Harris | James Earl Jones | Vusi Kunene | Charles S. Dutton
tt0114279,Richard III,Drama | Sci-Fi | War,fascist | dog | tank | battle | widow,Richard Loncraine,Ian McKellen | Annette Bening | Christopher Bowen | Edward Jewesbury
tt0114272,Restoration,Biography | Drama | History | Romance,17th century | plague | based on novel | king charles ii | historical event,Michael Hoffman,Robert Downey Jr. | Sam Neill | David Thewlis | Polly Walker
tt0113855,Mortal Kombat,Action | Adventure | Fantasy | Sci-Fi | Thriller,based on video game | campy | evil man | villain | woman breaks a man's neck,Paul W.S. Anderson,Christopher Lambert | Robin Shou | Linden Ashby | Cary-Hiroyuki Tagawa
tt0114681,To Die For,Comedy | Crime | Drama | Thriller,scantily clad female | new hampshire | television | coitus | copulation,Gus Van Sant,Nicole Kidman | Matt Dillon | Joaquin Phoenix | Casey Affleck
tt0113347,How to Make an American Quilt,Comedy | Drama | Romance,younger version of character | triple f rated | title directed by female | love | marriage,Jocelyn Moorhouse,Winona Ryder | Ellen Burstyn | Anne Bancroft | Kaelynn Craddick
tt0114369,Se7en,Crime | Drama | Mystery | Thriller,serial killer | detective | serial murder | seven deadly sins | murder,David Fincher,Morgan Freeman | Brad Pitt | Kevin Spacey | Andrew Kevin Walker
tt0114916,When Night Is Falling,Drama | Romance,christian | teacher | scissoring | tribadism | interracial lesbians,Patricia Rozema,Pascale Bussières | Rachael Crawford | Henry Czerny | David Fox
tt0114814,The Usual Suspects,Crime | Mystery | Thriller,criminal | suspect | criminal mastermind | flashback | mind game,Bryan Singer,Kevin Spacey | Gabriel Byrne | Chazz Palminteri | Stephen Baldwin
tt0113819,Mighty Aphrodite,Comedy | Fantasy | Romance,new york city | talking about sex | husband wife relationship | hot | blind man,Woody Allen,Woody Allen | Mira Sorvino | Pamela Blair | Rene Ceballos
tt0110299,Lamerica,Drama,albania | one word title | poverty | fraud | post cold war,Gianni Amelio,Enrico Lo Verso | Michele Placido | Piro Milkani | Carmelo Di Mazzarelli
tt0112499,The Big Green,Comedy | Family | Sport,close up of eyes | texas | sports team | soccer | overalls,Holly Goldberg Sloan,Steve Guttenberg | Olivia d'Abo | Jay O. Sanders | John Terry
tt0113158,Georgia,Drama | Music,voyeur | sex in bed | female rear nudity | female frontal nudity | female nudity,Ulu Grosbard,Jennifer Jason Leigh | Mare Winningham | Ted Levine | Max Perlich
tt0113321,Home for the Holidays,Comedy | Drama | Romance,thanksgiving | gay sibling | female protagonist | dysfunctional family | gay interest,Jodie Foster,Holly Hunter | Anne Bancroft | Robert Downey Jr. | Charles Durning
tt0112714,Le confessionnal,Drama | Mystery | Thriller,reference to joan of arc | 1950s | priest | hitchcockian | dressing gown,Robert Lepage,Lothaire Bluteau | Patrick Goyette | Jean-Louis Millette | Kristin Scott Thomas
tt0113419,The Indian in the Cupboard,Drama | Family | Fantasy,robocop character | five word title | child protagonist | miniature person | miniaturization,Frank Oz,Hal Scardino | Litefoot | Lindsay Crouse | Richard Jenkins
tt0116260,Eye for an Eye,Crime | Drama | Thriller,pantyhosed leg | rape | vigilante | rape and murder | rape of a minor,John Schlesinger,Sally Field | Kiefer Sutherland | Ed Harris | Olivia Burnette
tt0113862,Mr. Holland's Opus,Drama | Music,teaching | high school | 1990s | deafness | high school teacher,Stephen Herek,Richard Dreyfuss | Glenne Headly | Jay Thomas | Olympia Dukakis
tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy | Crime,hood | parody | grandmother | cult film | killed on birthday,Paris Barclay,Shawn Wayans | Marlon Wayans | Keenen Ivory Wayans | Tracey Cherelle Jones
tt0118002,Two If by Sea,Comedy | Crime | Romance,painting | island | thief | voyeur | vomiting,Bill Bennett,Sandra Bullock | Denis Leary | Stephen Dillane | Yaphet Kotto
tt0115683,Bio-Dome,Comedy,bio dome | experiment | biosphere | slapstick comedy | fish out of water,Jason Bloom,Pauly Shore | Stephen Baldwin | William Atherton | Denise Dowse
tt0116839,Lawnmower Man 2: Beyond Cyberspace,Action | Sci-Fi | Thriller,psychotronic film | computer | parking garage | sword | sword fight,Farhad Mann,Patrick Bergin | Matt Frewer | Austin O'Brien | Ely Pouget
tt0113149,Gazon maudit,Comedy,f rated | lesbian | strong female character | polyamorous relationship | pregnant lesbian,Josiane Balasko,Victoria Abril | Josiane Balasko | Alain Chabat | Ticky Holgado
tt0113118,Friday,Comedy | Drama,adult lives at home | hat | drug user | drug | drugs,F. Gary Gray,Ice Cube | Chris Tucker | Nia Long | Tommy 'Tiny' Lister
tt0116367,From Dusk Till Dawn,Action | Crime | Horror,sex offender | vampire | stripper | rape victim | pervert,Robert Rodriguez,Harvey Keitel | George Clooney | Juliette Lewis | Quentin Tarantino
tt0113010,Fair Game,Action | Romance | Thriller,female lawyer | spy | based on novel | woman in jeopardy | male rear nudity,Andrew Sipes,William Baldwin | Cindy Crawford | Steven Berkoff | Christopher McDonald
tt0113537,Kicking and Screaming,Comedy | Drama | Romance,female stockinged legs | pantyhose | slacker | beer drinking | independent film,Noah Baumbach,Josh Hamilton | Eric Stoltz | Samuel Gould | Catherine Kellner
tt0113828,Les misérables,Drama | History,lawyer | boxer | jewish | paris france | nun,Claude Lelouch,Jean-Paul Belmondo | Michel Boujenah | Alessandra Martines | Salomé Lelouch
tt0115644,Bed of Roses,Drama | Romance,florist | flower | widower | rooftop | painting,Michael Goldenberg,Christian Slater | Mary Stuart Masterson | Pamela Adlon | Josh Brolin
tt0114367,Screamers,Horror | Sci-Fi | Thriller,stop motion | matte painting | miniature model | shakespearean quotation | 2070s,Christian Duguay,Peter Weller | Roy Dupuis | Jennifer Rubin | Andrew Lauer
tt0113973,Nico Icon,Documentary | Biography | Music,f rated | female musician | singer songwriter | interview | female singer,Susanne Ofteringer,Nico | Tina Aumont | Christian Päffgen | Edith Boulogne
tt0112744,The Crossing Guard,Drama | Thriller,hit and run | obsession | forgiveness | loneliness | tragic event,Sean Penn,Jack Nicholson | David Morse | Anjelica Huston | Robin Wright
tt0116731,The Juror,Crime | Drama | Thriller,female frontal nudity | female nudity | ankle holster | ankle | holster,Brian Gibson,Demi Moore | Alec Baldwin | Joseph Gordon-Levitt | James Gandolfini
tt0112445,Badkonake sefid,Drama | Family,money | little girl | shopkeeper | snake charmer | new year's day,Jafar Panahi,Aida Mohammadkhani | Mohsen Kafili | Fereshteh Sadre Orafaiy | Anna Borkowska
tt0114660,Things to Do in Denver When You're Dead,Crime | Drama | Thriller,debt | contract killer | one last job | gangster | redemption,Gary Fleder,Andy Garcia | Christopher Walken | Christopher Lloyd | William Forsythe
tt0112379,Antonia,Comedy | Drama,f rated | feminist film | character name as title | one word title | dutch,Marleen Gorris,Willeke van Ammelrooy | Jan Decleir | Veerle van Overloop | Els Dottermans
tt0114039,Once Upon a Time... When We Were Colored,Drama | Romance,segregation | rural setting | race relations | prejudice | mississippi,Tim Reid,Al Freeman Jr. | Phylicia Rashad | Leon | Paula Kelly
tt0113612,Last Summer in the Hamptons,Comedy | Drama,f rated | long island | actress | written and directed by cast member | death in family,Henry Jaglom,Victoria Foyt | Viveca Lindfors | Jon Robin Baitz | Savannah Smith Boucher
tt0112365,Angels and Insects,Drama | Romance,aristocrat | insect | england | bare chested male | country life,Philip Haas,Mark Rylance | Kristin Scott Thomas | Patsy Kensit | Jeremy Kemp
tt0118158,White Squall,Adventure | Drama,sail | squall | storm | male bonding | acrophobia,Ridley Scott,Jeff Bridges | Caroline Goodall | John Savage | Scott Wolf
tt0116151,Dunston Checks In,Comedy | Adventure | Family,brother brother relationship | hotel owner | vacation | mischief | prank,Ken Kwapis,Jason Alexander | Faye Dunaway | Eric Lloyd | Rupert Everett
tt0115697,Black Sheep,Comedy,clumsiness | embarrassment | political campaign | slapstick comedy | politics,Penelope Spheeris,Chris Farley | David Spade | Tim Matheson | Christine Ebersole
tt0113972,Nick of Time,Action | Crime | Drama | Thriller,real time | conservatism | vigilantism | character repeats someone else's dialogue | dark comedy,John Badham,Johnny Depp | Christopher Walken | Courtney Chase | Charles S. Dutton
tt0117002,Mary Reilly,Drama | Horror | Romance | Thriller,housemaid | servant | laboratory | butler | 19th century,Stephen Frears,Julia Roberts | John Malkovich | George Cole | Michael Gambon
tt0114825,Vampire in Brooklyn,Comedy | Fantasy | Horror | Romance,vampire | yellow eyes | african american | brooklyn new york city | heart ripped out,Wes Craven,Eddie Murphy | Angela Bassett | Allen Payne | Kadeem Hardison
tt0115639,Beautiful Girls,Comedy | Drama | Romance,cheating wife | woman with masculine short hair | skank | filthy slut | slut,Ted Demme,Matt Dillon | Timothy Hutton | Noah Emmerich | Annabeth Gish
tt0115759,Broken Arrow,Action | Adventure | Thriller,male male relationship | good versus evil | evil man | villain | hero,John Woo,John Travolta | Christian Slater | Samantha Mathis | Delroy Lindo
tt0113403,In the Bleak Midwinter,Comedy,christmas | actor | play | british renaissance | cross dressing,Kenneth Branagh,Michael Maloney | Richard Briers | Hetta Charnley | Joan Collins
tt0113247,La haine,Crime | Drama,police | arab | gun | ghetto | riot,Mathieu Kassovitz,Vincent Cassel | Hubert Koundé | Saïd Taghmaoui | Abdel Ahmed Ghili
tt0111173,Shopping,Action | Crime | Drama | Thriller,shopping | shop | shopping mall | stealing | rivalry,Paul W.S. Anderson,Sadie Frost | Jude Law | Sean Pertwee | Fraser James
tt0113283,Heidi Fleiss: Hollywood Madam,Documentary | Biography,narration | prostitution | character name in title,Nick Broomfield,Nick Broomfield | Nina Xining Zuo | Madam Alex | Corinne Bohrer
tt0115907,City Hall,Drama | Thriller,mayor | dealer | drug dealer | deputy mayor | new york city,Harold Becker,Al Pacino | John Cusack | Bridget Fonda | Danny Aiello
tt0115734,Bottle Rocket,Comedy | Crime | Drama,texas | caper | dark comedy | motel | escapade,Wes Anderson,Luke Wilson | Owen Wilson | Ned Dowd | Shea Fowler
tt0117102,Mr. Wrong,Comedy,date | single woman | television studio | stalker | possessive love,Nick Castle,Ellen DeGeneres | Bill Pullman | Joan Cusack | Dean Stockwell
tt0118040,Unforgettable,Drama | Mystery | Sci-Fi | Thriller,self experimentation | implanted memory | murder | memory | newspaper headline,John Dahl,Ray Liotta | Linda Fiorentino | Peter Coyote | Christopher McDonald
tt0116483,Happy Gilmore,Comedy | Sport,golf | golf ball | golf course | black panties | panties,Dennis Dugan,Adam Sandler | Christopher McDonald | Julie Bowen | Frances Bay
tt0112579,The Bridges of Madison County,Drama | Romance,bridge | love | farm | photographer | housewife,Clint Eastwood,Clint Eastwood | Meryl Streep | Annie Corley | Victor Slezak
tt0112646,Catwalk,Documentary,fashion | paris france | one word title | new york city | independent film,Robert Leacock,Christy Turlington | Azzedine Alaïa | Giorgio Armani | Nadja Auermann
tt0112573,Braveheart,Biography | Drama | History | War,scotland | revolt | england | legend | idealism,Mel Gibson,Mel Gibson | Sophie Marceau | Patrick McGoohan | Angus Macfadyen
tt0075314,Taxi Driver,Crime | Drama,taxi driver | child prostitution | street life | loner | assassination attempt,Martin Scorsese,Robert De Niro | Jodie Foster | Cybill Shepherd | Albert Brooks
tt0113326,Hung fan kui,Action | Comedy | Crime | Thriller,coors light | coast guard | helicopter | collapsing building | sunglasses,Stanley Tong,Jackie Chan | Anita Mui | Françoise Yip | Bill Tung
tt0115645,Before and After,Crime | Drama | Mystery,based on novel | suspect | lie | boyfriend girlfriend relationship | murder investigation,Barbet Schroeder,Meryl Streep | Liam Neeson | Edward Furlong | Julia Weldon
tt0113774,Margaret's Museum,Drama,alliteration in title | two word title | name in title | female name in title | male in shower,Mort Ransen,Helena Bonham Carter | Kate Nelligan | Clive Russell | Craig Olejnik
tt0112373,Anne Frank Remembered,Documentary | Biography | War,reference to anne frank | 1940s | 1930s | soldier | hiding a jew,Jon Blair,Kenneth Branagh | Glenn Close | Janny Brandes-Brilslijper | Rose De Liema
tt0115033,The Young Poisoner's Handbook,Crime | Drama,poisoner | murderer | death by poison | murder by poison | thallium poisoning,Benjamin Ross,Hugh O'Conor | Antony Sher | Tobias Arnold | Ruth Sheen
tt0116606,If Lucy Fell,Comedy | Romance,love | roommate | new york city | lingerie slip | suicide attempt,Eric Schaeffer,Sarah Jessica Parker | Eric Schaeffer | Ben Stiller | Elle Macpherson
tt0114536,Steal Big Steal Little,Comedy,lawyer | estate | twin brother | brother brother relationship | santa barbara california,Andrew Davis,Andy Garcia | Alan Arkin | Rachel Ticotin | Joe Pantoliano
tt0106473,The Boys of St. Vincent,Drama,orphanage | boy | priest | sexual abuse | hush money,John N. Smith,Henry Czerny | Johnny Morina | Brian Dooley | Philip Dinn
tt0103859,Boomerang,Comedy | Drama | Romance,advertising executive | african american protagonist | yuppie | chauvinist | 1990s,Reginald Hudlin,Eddie Murphy | Robin Givens | Halle Berry | David Alan Grier
tt0109424,Chung Hing sam lam,Comedy | Crime | Drama | Mystery | Romance,hong kong | spoken inner thoughts | drug smuggling | expiration date | canned food,Kar-Wai Wong,Brigitte Lin | Takeshi Kaneshiro | Tony Chiu-Wai Leung | Faye Wong
tt0114808,L'uomo delle stelle,Drama | Romance,girl | nipples | breasts | unfaithfulness | teenage girl,Giuseppe Tornatore,Sergio Castellitto | Tiziana Lodato | Franco Scaldati | Leopoldo Trieste
tt0116324,Flirting with Disaster,Comedy,road movie | husband wife relationship | overalls | dysfunctional family | truck,David O. Russell,Ben Stiller | Patricia Arquette | Téa Leoni | Mary Tyler Moore
tt0110647,Die unendliche Geschichte III: Rettung aus Phantasien,Adventure | Comedy | Family | Fantasy,sequel by name only | cult film | playing guitar | new kid in school | destruction,Peter MacDonald,Jason James Richter | Melody Kay | Jack Black | Carole Finn
tt0114131,Pie in the Sky,Comedy | Romance,dance | traffic jam | traffic | helicopter | freeway,Bryan Gordon,Josh Charles | Anne Heche | John Goodman | Christine Lahti
tt0112364,Angela,Drama,girl | mental illness | tween girl | sister sister relationship | husband wife relationship,Rebecca Miller,Miranda Rhyne | Charlotte Eve Blythe | Anna Thomson | John Ventimiglia
tt0113107,Frankie Starlight,Drama | Romance | War,boy | ireland | writer | flashback | troop ship,Michael Lindsay-Hogg,Matt Dillon | Anne Parillaud | Gabriel Byrne | Corban Walker
tt0113451,Jade,Crime | Drama | Thriller,female full frontal nudity | panties pulled down | breasts | female rear nudity | hit by a car,William Friedkin,David Caruso | Linda Fiorentino | Chazz Palminteri | Richard Crenna
tt0116130,Down Periscope,Comedy,woman in uniform | cook | electrician | sonar operator | female naval officer,David S. Ward,Kelsey Grammer | Lauren Holly | Rob Schneider | Harry Dean Stanton
tt0113756,Man of the Year,Comedy | Romance,magazine | centerfold | contest | date | photograph,Dirk Shafer,Vivian Paxton | Claudette Sutherland | Michael Ornstein | Cal Bartlett
tt0118055,Up Close & Personal,Drama | Romance,mentor protege relationship | journalism | television news | television broadcast | television network,Jon Avnet,Robert Redford | Michelle Pfeiffer | Stockard Channing | Joe Mantegna
tt0115685,The Birdcage,Comedy,gay father | remake of french film | based on play | transvestism | dance,Mike Nichols,Robin Williams | Nathan Lane | Gene Hackman | Dianne Wiest
tt0112585,The Brothers McMullen,Comedy | Drama | Romance,irish catholic | long island | low budget film | loss of father | abusive father,Edward Burns,Jack Mulcahy | Michael McGlone | Edward Burns | Shari Albert
tt0112442,Bad Boys,Action | Comedy | Crime | Thriller,criminal investigation | murder investigation | usa | united states | murder,Michael Bay,Will Smith | Martin Lawrence | Lisa Boyle | Michael Taliferro
tt0112342,The Amazing Panda Adventure,Adventure | Drama | Family,boyfriend girlfriend relationship | actor shares first name with character | no opening credits | panda | zoologist,Christopher Cain,Stephen Lang | Ryan Slater | Yi Ding | Wang Fei
tt0112461,The Basketball Diaries,Biography | Crime | Drama | Sport,addiction | childhood friend | student athlete | basketball | friend,Scott Kalvert,Leonardo DiCaprio | Lorraine Bracco | Marilyn Sokol | James Madio
tt0112427,An Awfully Big Adventure,Comedy | Drama | Romance,accidental incest | overalls | speech | man wears eyeglasses | play,Mike Newell,Hugh Grant | Alan Rickman | Georgina Cates | Alun Armstrong
tt0109093,Amateur,Comedy | Crime | Drama | Thriller,pornographer | new york city | nun | amnesia | pantyhose,Hal Hartley,Isabelle Huppert | Martin Donovan | Elina Löwensohn | Damian Young
tt0112384,Apollo 13,Adventure | Drama | History,1970s | survival | astronaut | space mission | rescue,Ron Howard,Tom Hanks | Bill Paxton | Kevin Bacon | Gary Sinise
tt0114287,Rob Roy,Adventure | Biography | Drama | History,scotland | highlands | 18th century | flintlock pistol | flintlock rifle,Michael Caton-Jones,Liam Neeson | Jessica Lange | John Hurt | Tim Roth
tt0112288,The Addiction,Horror,psychotronic film | vampire | new york | drugs | philosophy,Abel Ferrara,Lili Taylor | Christopher Walken | Annabella Sciorra | Edie Falco
tt0112462,Batman Forever,Action | Adventure | Fantasy,bruce wayne character | batman character | alfred pennyworth character | harvey dent character | james gordon character,Joel Schumacher,Val Kilmer | Tommy Lee Jones | Jim Carrey | Nicole Kidman
tt0061395,Belle de jour,Drama,prostitute | marriage | prostitute wife | brothel | daydream,Luis Buñuel,Catherine Deneuve | Jean Sorel | Michel Piccoli | Geneviève Page
tt0112495,Beyond Rangoon,Action | Adventure | Drama,burma | escape | dictatorship | doctor | travel,John Boorman,Patricia Arquette | U Aung Ko | Frances McDormand | Spalding Gray
tt0109370,Canadian Bacon,Comedy,international relations | the white house | united states | president | canada,Michael Moore,John Candy | Alan Alda | Rhea Perlman | Kevin Pollak
tt0112642,Casper,Comedy | Family | Fantasy,ghost | mansion | spirit | friendly ghost | maine,Brad Silberling,Bill Pullman | Christina Ricci | Cathy Moriarty | Eric Idle
tt0112688,Clockers,Crime | Drama | Mystery,italian american | jewish american | brooklyn bridge | reference to rosa parks | reference to brooklyn bridge,Spike Lee,Harvey Keitel | John Turturro | Delroy Lindo | Mekhi Phifer
tt0112715,Congo,Action | Adventure | Mystery | Sci-Fi,lost city | gorilla | diamond | talking gorilla | ape,Frank Marshall,Laura Linney | Tim Curry | Dylan Walsh | Ernie Hudson
tt0112740,Crimson Tide,Action | Drama | Thriller | War,submarine | u.s. navy | 1990s | submarine captain | naval base,Tony Scott,Gene Hackman | Denzel Washington | Matt Craven | George Dzundza
tt0109508,Crumb,Documentary | Biography | Comedy,robert crumb | cartoonist | underground comic | psychotronic film | art,Terry Zwigoff,Robert Crumb | Aline Kominsky-Crumb | Charles Crumb | Maxon Crumb
tt0112851,Desperado,Action | Crime | Thriller,contemporary western | mexican | one against many | lone wolf | musician,Robert Rodriguez,Antonio Banderas | Salma Hayek | Joaquim de Almeida | Cheech Marin
tt0112857,Devil in a Blue Dress,Crime | Drama | Mystery | Thriller,african american | jazz club | private detective | missing person | jazz music,Carl Franklin,Denzel Washington | Tom Sizemore | Jennifer Beals | Don Cheadle
tt0112864,Die Hard: With a Vengeance,Action | Adventure | Thriller,john mcclane character | time bomb | good versus evil | male butt clench | motor car,John McTiernan,Bruce Willis | Jeremy Irons | Samuel L. Jackson | Graham Greene
tt0112887,The Doom Generation,Comedy | Crime | Drama,one female two males threesome | pubic hair | fellatio | threesome | woman in bathtub,Gregg Araki,James Duval | Rose McGowan | Johnathon Schaech | Cress Williams
tt0113044,Feast of July,Crime | Drama | Mystery | Romance,sex scene | cobbler the shoemaker | shoe | 19th century | england,Christopher Menaul,Embeth Davidtz | Tom Bell | Gemma Jones | James Purefoy
tt0113071,First Knight,Action | Adventure | Drama | Romance,based on legend | king arthur | love triangle | romantic drama | arthurian legend,Jerry Zucker,Sean Connery | Richard Gere | Julia Ormond | Ben Cross
tt0113114,Free Willy 2: The Adventure Home,Adventure | Drama | Family,whale | boy | oil tanker | oil spill | killer whale,Dwight H. Little,Jason James Richter | Michael Madsen | Francis Capra | Mary Kate Schellhardt
tt0113243,Hackers,Comedy | Crime | Drama | Thriller,computer virus | computer | cyberpunk | hacker | fight the system,Iain Softley,Jonny Lee Miller | Angelina Jolie | Jesse Bradford | Matthew Lillard
tt0113464,Jeffrey,Comedy | Drama,gay | gay priest | new york city | gay lead character | gay kiss,Christopher Ashley,Steven Weber | Michael T. Weiss | Peter Jacobson | Tom Cayler
tt0113481,Johnny Mnemonic,Action | Drama | Sci-Fi | Thriller,implanted memory | virtual reality | cyberspace | erased memory | based on story,Robert Longo,Keanu Reeves | Dolph Lundgren | Dina Meyer | Ice-T
tt0113492,Judge Dredd,Action | Crime | Sci-Fi | Thriller,based on comic book | cult film | judge | police | police brutality,Danny Cannon,Sylvester Stallone | Armand Assante | Rob Schneider | Jürgen Prochnow
tt0113500,Jury Duty,Comedy,jury | dog | court | hotel | mother son relationship,John Fortenberry,Pauly Shore | Tia Carrere | Stanley Tucci | Brian Doyle-Murray
tt0113540,Kids,Drama,virgin | rape | swimming in underwear | sexual abuse | first time sex,Larry Clark,Leo Fitzpatrick | Justin Pierce | Chloë Sevigny | Sarah Henderson
tt0113677,Living in Oblivion,Comedy | Drama,neo screwball comedy | looking at oneself in a mirror | 1990s | filmmaking | filmmaker,Tom DiCillo,Steve Buscemi | Catherine Keener | Dermot Mulroney | Danielle von Zerneck
